Row,PL_GDP,PL_Inv,PL_CPI,PL_Rate,PL_Gold,PL_Credit
1979-12,NaN,NaN,NaN,NaN,1.285,NaN
1980-12,NaN,NaN,NaN,NaN,0.758,NaN
1983-01,NaN,NaN,NaN,NaN,0.472,NaN
1983-02,NaN,NaN,NaN,NaN,0.472,NaN
1983-03,NaN,NaN,NaN,NaN,0.472,NaN
1983-04,NaN,NaN,NaN,NaN,0.472,NaN
1983-05,NaN,NaN,NaN,NaN,0.472,NaN
1983-06,NaN,NaN,NaN,NaN,0.472,NaN
1983-07,NaN,NaN,NaN,NaN,0.472,NaN
1983-08,NaN,NaN,NaN,NaN,0.472,NaN
1983-09,NaN,NaN,NaN,NaN,0.472,NaN
1983-10,NaN,NaN,NaN,NaN,0.472,NaN
1983-11,NaN,NaN,NaN,NaN,0.472,NaN
1983-12,NaN,NaN,NaN,NaN,0.472,NaN
1984-01,NaN,NaN,NaN,NaN,0.472,NaN
1984-02,NaN,NaN,NaN,NaN,0.472,NaN
1984-03,NaN,NaN,NaN,NaN,0.472,NaN
1984-04,NaN,NaN,NaN,NaN,0.472,NaN
1984-05,NaN,NaN,NaN,NaN,0.472,NaN
1984-06,NaN,NaN,NaN,NaN,0.472,NaN
1984-07,NaN,NaN,NaN,NaN,0.472,NaN
1984-08,NaN,NaN,NaN,NaN,0.472,NaN
1984-09,NaN,NaN,NaN,NaN,0.472,NaN
1984-10,NaN,NaN,NaN,NaN,0.472,NaN
1984-11,NaN,NaN,NaN,NaN,0.472,NaN
1984-12,NaN,NaN,NaN,NaN,0.472,NaN
1985-01,NaN,NaN,NaN,NaN,0.472,NaN
1985-02,NaN,NaN,NaN,NaN,0.472,NaN
1985-03,NaN,NaN,NaN,NaN,0.472,NaN
1985-04,NaN,NaN,NaN,NaN,0.472,NaN
1985-05,NaN,NaN,NaN,NaN,0.472,NaN
1985-06,NaN,NaN,NaN,NaN,0.472,NaN
1985-07,NaN,NaN,NaN,NaN,0.472,NaN
1985-08,NaN,NaN,NaN,NaN,0.472,NaN
1985-09,NaN,NaN,NaN,NaN,0.472,NaN
1985-10,NaN,NaN,NaN,NaN,0.472,NaN
1985-11,NaN,NaN,NaN,NaN,0.472,NaN
1985-12,NaN,NaN,NaN,NaN,0.472,NaN
1986-01,NaN,NaN,NaN,NaN,0.472,NaN
1986-02,NaN,NaN,NaN,NaN,0.472,NaN
1986-03,NaN,NaN,NaN,NaN,0.472,NaN
1986-04,NaN,NaN,NaN,NaN,0.472,NaN
1986-05,NaN,NaN,NaN,NaN,0.472,NaN
1986-06,NaN,NaN,NaN,NaN,0.472,NaN
1986-07,NaN,NaN,NaN,NaN,0.472,NaN
1986-08,NaN,NaN,NaN,NaN,0.472,NaN
1986-09,NaN,NaN,NaN,NaN,0.472,NaN
1986-10,NaN,NaN,NaN,NaN,0.472,NaN
1986-11,NaN,NaN,NaN,NaN,0.472,NaN
1986-12,NaN,NaN,NaN,NaN,0.472,NaN
1987-01,NaN,NaN,NaN,NaN,0.472,NaN
1987-02,NaN,NaN,NaN,NaN,0.472,NaN
1987-03,NaN,NaN,NaN,NaN,0.472,NaN
1987-04,NaN,NaN,NaN,NaN,0.472,NaN
1987-05,NaN,NaN,NaN,NaN,0.472,NaN
1987-06,NaN,NaN,NaN,NaN,0.472,NaN
1987-07,NaN,NaN,NaN,NaN,0.472,NaN
1987-08,NaN,NaN,NaN,NaN,0.472,NaN
1987-09,NaN,NaN,NaN,NaN,0.472,NaN
1987-10,NaN,NaN,NaN,NaN,0.472,NaN
1987-11,NaN,NaN,NaN,NaN,0.472,NaN
1987-12,NaN,NaN,NaN,NaN,0.472,NaN
1988-01,NaN,NaN,NaN,NaN,0.472,NaN
1988-02,NaN,NaN,NaN,NaN,0.472,NaN
1988-03,NaN,NaN,NaN,NaN,0.472,NaN
1988-04,NaN,NaN,NaN,NaN,0.472,NaN
1988-05,NaN,NaN,NaN,NaN,0.472,NaN
1988-06,NaN,NaN,NaN,NaN,0.472,NaN
1988-07,NaN,NaN,NaN,NaN,0.472,NaN
1988-08,NaN,NaN,NaN,NaN,0.472,NaN
1988-09,NaN,NaN,NaN,NaN,0.472,NaN
1988-10,NaN,NaN,NaN,NaN,0.472,NaN
1988-11,NaN,NaN,NaN,NaN,0.472,NaN
1988-12,NaN,NaN,NaN,NaN,0.472,NaN
1989-01,NaN,NaN,NaN,NaN,0.472,NaN
1989-02,NaN,NaN,NaN,NaN,0.472,NaN
1989-03,NaN,NaN,NaN,NaN,0.472,NaN
1989-04,NaN,NaN,NaN,NaN,0.472,NaN
1989-05,NaN,NaN,NaN,NaN,0.472,NaN
1989-06,NaN,NaN,NaN,NaN,0.472,NaN
1989-07,NaN,NaN,NaN,NaN,0.472,NaN
1989-08,NaN,NaN,NaN,NaN,0.472,NaN
1989-09,NaN,NaN,NaN,NaN,0.472,NaN
1989-10,NaN,NaN,NaN,NaN,0.472,NaN
1989-11,NaN,NaN,NaN,NaN,0.472,NaN
1989-12,NaN,NaN,NaN,NaN,0.472,NaN
1989-Q1,NaN,NaN,0.5184165232358,NaN,NaN,NaN
1989-Q2,NaN,NaN,0.662421113023523,NaN,NaN,NaN
1989-Q3,NaN,NaN,1.06563396442914,NaN,NaN,NaN
1989-Q4,NaN,NaN,2.50567986230637,NaN,NaN,NaN
1990-01,NaN,NaN,NaN,NaN,0.472,NaN
1990-02,NaN,NaN,NaN,NaN,0.472,NaN
1990-03,NaN,NaN,NaN,NaN,0.472,NaN
