Row,US_Credit,US_Rate,US_GDP,US_Inv,US_CPI
1945-Q4,55.94,NaN,NaN,NaN,NaN
1946-Q1,57.905,NaN,NaN,NaN,NaN
1946-Q2,59.891,NaN,NaN,NaN,NaN
1946-Q3,61.9,NaN,NaN,NaN,NaN
1946-Q4,63.908,NaN,NaN,NaN,NaN
1947-Q1,66.042,NaN,11.6102387590559,NaN,NaN
1947-Q2,68.199,NaN,11.5794455867251,NaN,NaN
1947-Q3,70.38,NaN,11.5557217054683,NaN,NaN
1947-Q4,72.561,NaN,11.7366827907497,NaN,NaN
1948-Q1,74.403,NaN,11.9134416638803,NaN,NaN
1948-Q2,76.244,NaN,12.1102966857525,NaN,NaN
1948-Q3,78.106,NaN,12.1798725527566,NaN,NaN
1948-Q4,79.968,NaN,12.193670702528,NaN,NaN
1949-Q1,80.699,NaN,12.0258109444967,NaN,NaN
1949-Q2,81.438,NaN,11.9849643785391,NaN,NaN
1949-Q3,82.186,NaN,12.1088817636865,NaN,NaN
1949-Q4,82.933,NaN,12.0074329154065,NaN,NaN
1950-Q1,85.189,NaN,12.4795275139043,NaN,NaN
1950-Q2,87.471,NaN,12.8602692117959,NaN,NaN
1950-Q3,89.777,NaN,13.3573270781721,NaN,NaN
1950-Q4,92.084,NaN,13.6131141360183,NaN,NaN
1951-Q1,94.974,NaN,13.797974235865,NaN,NaN
1951-Q2,97.897,NaN,14.0369737221312,NaN,NaN
1951-Q3,100.851,NaN,14.3261337914135,NaN,NaN
1951-Q4,103.806,NaN,14.3575014433801,NaN,NaN
1952-Q1,105.232,NaN,14.5106853744187,NaN,NaN
1952-Q2,107.373,NaN,14.5417817443351,NaN,NaN
1952-Q3,109.691,NaN,14.6466615126623,NaN,NaN
1952-Q4,112.537,NaN,15.1276499070034,NaN,NaN
1953-Q1,114.106,NaN,15.4088789657579,NaN,NaN
1953-Q2,115.808,NaN,15.528003701351,NaN,NaN
1953-Q3,117.326,NaN,15.4406562004279,NaN,NaN
1953-Q4,117.609,NaN,15.2069280967458,NaN,NaN
1954-07,NaN,0.8,NaN,NaN,NaN
1954-08,NaN,1.22,NaN,NaN,NaN
1954-09,NaN,1.07,NaN,NaN,NaN
1954-10,NaN,0.85,NaN,NaN,NaN
1954-11,NaN,0.83,NaN,NaN,NaN
1954-12,NaN,1.28,NaN,NaN,NaN
1954-Q1,118.969,NaN,15.1343042961183,NaN,NaN
1954-Q2,120.059,NaN,15.150863139695,NaN,NaN
1954-Q3,122.051,NaN,15.3220208363764,NaN,NaN
1954-Q4,123.758,NaN,15.621867290736,NaN,NaN
1955-01,NaN,1.39,NaN,NaN,NaN
1955-02,NaN,1.29,NaN,NaN,NaN
1955-03,NaN,1.35,NaN,NaN,NaN
1955-04,NaN,1.43,NaN,NaN,NaN
1955-05,NaN,1.43,NaN,NaN,NaN
1955-06,NaN,1.64,NaN,NaN,NaN
1955-07,NaN,1.68,NaN,NaN,NaN
1955-08,NaN,1.96,NaN,NaN,NaN
1955-09,NaN,2.18,NaN,NaN,NaN
1955-10,NaN,2.24,NaN,NaN,NaN
1955-11,NaN,2.35,NaN,NaN,NaN
1955-12,NaN,2.48,NaN,NaN,NaN
1955-Q1,125.322,NaN,16.0681209441339,13.2790573834247,11.3043930744771
1955-Q2,128.692,NaN,16.3296368405705,13.8188448285571,11.2889230167738
